NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,state,county,tract,year
"Census Tract 3102, Cook County, Illinois",211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,0.0,11.0,15.0,0.0,24.0,0.0,35.0,29.0,12.0,63.0,0.0,17,031,310200,2010
"Census Tract 3103, Cook County, Illinois",190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,42.0,37.0,31.0,36.0,16.0,8.0,0.0,17,031,310300,2010
"Census Tract 3104, Cook County, Illinois",225.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,58.0,35.0,0.0,0.0,17.0,17,031,310400,2010
"Census Tract 3105, Cook County, Illinois",146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,7.0,0.0,0.0,30.0,0.0,27.0,50.0,9.0,0.0,10.0,0.0,17,031,310500,2010
"Census Tract 3106, Cook County, Illinois",397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,0.0,0.0,0.0,23.0,0.0,12.0,0.0,0.0,57.0,61.0,174.0,12.0,21.0,0.0,0.0,17,031,310600,2010
"Census Tract 3107, Cook County, Illinois",120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,25.0,0.0,39.0,0.0,0.0,17,031,310700,2010
"Census Tract 3108, Cook County, Illinois",512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,24.0,0.0,60.0,0.0,106.0,62.0,110.0,119.0,0.0,0.0,0.0,17,031,310800,2010
"Census Tract 3109, Cook County, Illinois",467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,44.0,0.0,47.0,6.0,66.0,109.0,178.0,0.0,0.0,9.0,0.0,17,031,310900,2010
"Census Tract 3201, Cook County, Illinois",2203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,15.0,49.0,208.0,172.0,392.0,327.0,595.0,290.0,129.0,17,031,320100,2010
"Census Tract 3204, Cook County, Illinois",148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,16.0,18.0,17.0,12.0,54.0,12.0,0.0,17,031,320400,2010
"Census Tract 3206, Cook County, Illinois",993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,107.0,174.0,276.0,154.0,132.0,81.0,29.0,17,031,320600,2010
"Census Tract 3301, Cook County, Illinois",4075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,364.0,654.0,1262.0,615.0,679.0,337.0,81.0,17,031,330100,2010
"Census Tract 3302, Cook County, Illinois",1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,22.0,198.0,240.0,234.0,317.0,171.0,94.0,17,031,330200,2010
"Census Tract 3403, Cook County, Illinois",219.0,10.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,19.0,11.0,17.0,60.0,10.0,17.0,17,031,340300,2010
"Census Tract 3404, Cook County, Illinois",280.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,18.0,98.0,23.0,45.0,0.0,48.0,0.0,0.0,17,031,340400,2010
"Census Tract 3405, Cook County, Illinois",163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,40.0,0.0,0.0,0.0,21.0,11.0,47.0,26.0,8.0,2.0,0.0,17,031,340500,2010
"Census Tract 3406, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,340600,2010
"Census Tract 3501, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,350100,2010
"Census Tract 3504, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,350400,2010
"Census Tract 3510, Cook County, Illinois",245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,12.0,0.0,17.0,0.0,35.0,34.0,25.0,36.0,61.0,7.0,0.0,0.0,17,031,351000,2010
"Census Tract 3511, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,351100,2010
"Census Tract 3514, Cook County, Illinois",70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,17,031,351400,2010
"Census Tract 3515, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,351500,2010
"Census Tract 3602, Cook County, Illinois",33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,17,031,360200,2010
"Census Tract 3801, Cook County, Illinois",249.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,48.0,26.0,109.0,0.0,27.0,0.0,0.0,17,031,380100,2010
"Census Tract 3802, Cook County, Illinois",122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,10.0,44.0,9.0,23.0,0.0,17,031,380200,2010
"Census Tract 3805, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,380500,2010
"Census Tract 3807, Cook County, Illinois",31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,17,031,380700,2010
"Census Tract 3812, Cook County, Illinois",328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,34.0,114.0,64.0,35.0,0.0,0.0,17,031,381200,2010
"Census Tract 3814, Cook County, Illinois",273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,44.0,13.0,43.0,0.0,40.0,41.0,64.0,0.0,14.0,17,031,381400,2010
"Census Tract 3815, Cook County, Illinois",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,381500,2010
"Census Tract 3817, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,381700,2010
"Census Tract 3818, Cook County, Illinois",107.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,33.0,26.0,14.0,0.0,0.0,17.0,0.0,0.0,17,031,381800,2010
"Census Tract 3819, Cook County, Illinois",173.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,48.0,30.0,20.0,30.0,9.0,0.0,0.0,17,031,381900,2010
"Census Tract 3901, Cook County, Illinois",253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,18.0,70.0,56.0,73.0,0.0,17.0,17,031,390100,2010
"Census Tract 3902, Cook County, Illinois",559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,10.0,5.0,62.0,120.0,172.0,104.0,47.0,21.0,0.0,17,031,390200,2010
"Census Tract 3903, Cook County, Illinois",207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,61.0,15.0,38.0,29.0,8.0,23.0,8.0,21.0,0.0,17,031,390300,2010
"Census Tract 3904, Cook County, Illinois",541.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,21.0,44.0,13.0,0.0,0.0,17.0,86.0,18.0,10.0,0.0,48.0,140.0,21.0,51.0,26.0,9.0,12.0,17,031,390400,2010
"Census Tract 3905, Cook County, Illinois",311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,25.0,36.0,54.0,44.0,12.0,33.0,12.0,64.0,17,031,390500,2010
"Census Tract 3906, Cook County, Illinois",466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,39.0,0.0,25.0,59.0,74.0,17.0,48.0,49.0,137.0,17,031,390600,2010
"Census Tract 3907, Cook County, Illinois",1099.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,8.0,64.0,61.0,16.0,137.0,46.0,121.0,83.0,77.0,66.0,93.0,87.0,61.0,12.0,46.0,17,031,390700,2010
"Census Tract 4003, Cook County, Illinois",167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,58.0,22.0,14.0,12.0,11.0,0.0,0.0,0.0,17,031,400300,2010
